city_name,country,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm2.5_aqi_value,aqi_value,dominant_pollutant,aqi_category
Tokyo,Japan,219.5,259.3,219.2,191.7,212.6,Ozone,Very Unhealthy
Oslo,Norway,236,246,180.6,193.8,227.3,Ozone,Very Unhealthy
Chengdu,China,261.6,198.3,161.9,281.4,201.1,PM2.5,Very Unhealthy
Mumbai,India,76.2,129.6,79.3,137.7,113.2,PM2.5,Unhealthy for Sensitive Groups
Budapest,Hungary,394.2,390.1,277.2,333.2,413,CO,Hazardous
Zabol,Iran,279.2,223.1,235.2,282.4,253.7,PM2.5,Very Unhealthy
Wuhan,China,178.9,266.9,237.6,223.6,214.7,Ozone,Very Unhealthy
Osaka,Japan,257.4,207.6,227.4,229.3,262.5,CO,Very Unhealthy
Auckland,New Zealand,485.3,443,251.7,401,341.2,CO,Hazardous
Kabul,Afghanistan,207.9,266,163.8,219.8,209.4,Ozone,Very Unhealthy
Seattle,USA,176.9,150.7,160.6,173.9,169.3,CO,Unhealthy
Seattle,USA,62,80.7,78.4,81.1,142.7,PM2.5,Unhealthy for Sensitive Groups
Madrid,Spain,95.9,127,99.2,136.3,130.5,PM2.5,Unhealthy for Sensitive Groups
Paris,France,226.3,183,254.9,193.7,272.1,NO2,Very Unhealthy
Paris,France,78.2,87.3,49.3,62,60.9,Ozone,Moderate
Oslo,Norway,20.5,23.9,8.4,4.9,44.6,Ozone,Good
Bishkek,Kyrgyzstan,15.4,9,9.4,31.4,26.3,PM2.5,Good
Cairo,Egypt,335.4,314.6,410.1,399.5,468.8,NO2,Hazardous
Peshawar,Pakistan,13,25,6.1,7.9,47.1,Ozone,Good
Budapest,Hungary,243.8,265.6,257.8,235.1,288.3,Ozone,Very Unhealthy
Bangalore,India,144.7,145.9,132.9,181.1,198.4,PM2.5,Unhealthy
Johannesburg,South Africa,173.5,129.6,102.1,162.4,200,CO,Unhealthy
Copenhagen,Denmark,46.1,80.9,72.9,40.8,59.5,Ozone,Moderate
Vienna,Austria,36.7,39,49.4,33.5,100,NO2,Moderate
Hong Kong,China,162.4,258.2,231.5,248.8,279.2,Ozone,Very Unhealthy
Hanoi,Vietnam,477,365.9,309.2,298.2,393.4,CO,Hazardous
Patna,India,11.3,36.6,12.9,11.7,8.3,Ozone,Good
Budapest,Hungary,412.5,360,358.4,358.6,319.7,CO,Hazardous
Linfen,China,28,89.5,34,49.5,78.1,Ozone,Moderate
Mumbai,India,219.6,265.7,244.4,210.7,248.1,Ozone,Very Unhealthy
Chengdu,China,347.5,378.1,272.3,280.1,389.7,Ozone,Hazardous
Zurich,Switzerland,78,56.5,48.5,46.6,89.1,CO,Moderate
Portland,USA,159.7,158.4,157.1,176,155.7,PM2.5,Unhealthy
Tokyo,Japan,50.4,87.9,57.7,45.9,59.6,Ozone,Moderate
Sydney,Australia,488.4,405.5,497.7,433.4,342.3,NO2,Hazardous
Delhi,India,47,63.6,67.4,74.6,69.1,PM2.5,Moderate
Kabul,Afghanistan,262.7,181,229.8,295,254.2,PM2.5,Very Unhealthy
Osaka,Japan,17.5,15.5,11.5,19.4,12.8,PM2.5,Good
Paris,France,122.3,157.9,115.6,131.6,152.1,Ozone,Unhealthy
Kabul,Afghanistan,130.7,178.6,149.6,160.5,175.3,Ozone,Unhealthy
Bangalore,India,127,184.4,146.4,134.2,151.7,Ozone,Unhealthy
Santiago,Chile,163.7,188.1,144.8,154,166.5,Ozone,Unhealthy
Yangon,Myanmar,122.4,168.9,155.2,178.6,153.3,PM2.5,Unhealthy
Bishkek,Kyrgyzstan,361.5,378.8,396,476.8,315.5,PM2.5,Hazardous
Agra,India,156.2,139.6,140.8,138.4,191.2,CO,Unhealthy
Wuhan,China,11.2,30.2,8.3,12.1,27.5,Ozone,Good
Portland,USA,70.4,95.8,83.5,108.5,148.1,PM2.5,Unhealthy for Sensitive Groups
Tokyo,Japan,129.4,143.2,122,132.1,191.4,Ozone,Unhealthy
Calgary,Canada,253.7,187,268.9,220.7,293.7,NO2,Very Unhealthy
Lahore,Pakistan,29.4,84.3,65.4,33.4,92,Ozone,Moderate
Karachi,Pakistan,253.5,283.9,191.1,251.6,207.2,Ozone,Very Unhealthy
Honolulu,USA,232.1,215.5,160.8,199.1,274.1,CO,Very Unhealthy
Tashkent,Uzbekistan,17.8,29,6,17.6,40.5,Ozone,Good
Beijing,China,246.7,176.2,256.4,200,210,NO2,Very Unhealthy
Amsterdam,Netherlands,170.3,253.4,257.1,248.4,287.5,NO2,Very Unhealthy
Tokyo,Japan,115.6,152.3,149.7,177.9,189,PM2.5,Unhealthy
Tashkent,Uzbekistan,112.6,120,90.5,137.6,116.8,PM2.5,Unhealthy for Sensitive Groups
Portland,USA,5.2,9,23.4,8.5,10,NO2,Good
Warsaw,Poland,221.7,174,174,242.2,273.1,PM2.5,Very Unhealthy
São Paulo,Brazil,282.1,442.8,483.6,317.5,322.7,NO2,Hazardous
Seattle,USA,4.6,30.8,14.9,6.6,44.5,Ozone,Good
Beijing,China,3.9,26.1,13,3.1,33.4,Ozone,Good
Paris,France,273.2,207.1,249.9,279.7,272.6,PM2.5,Very Unhealthy
Tashkent,Uzbekistan,212.9,210,215.1,269,212.4,PM2.5,Very Unhealthy
Zabol,Iran,66.4,51.4,43.3,82.4,79.3,PM2.5,Moderate
Santiago,Chile,126,155.9,134.9,162.3,197.9,PM2.5,Unhealthy
Allahabad,India,19.9,25.2,16,7.7,43.9,Ozone,Good
Shanghai,China,118.1,160.4,118,156,157.2,Ozone,Unhealthy
Tehran,Iran,72.8,36.7,64.4,82.3,69.2,PM2.5,Moderate
Calgary,Canada,23.7,0.4,19.3,14.7,37.7,CO,Good
Colombo,Sri Lanka,4.2,8.2,3,28.3,9.3,PM2.5,Good
Madrid,Spain,459.2,471.4,405.7,386.1,320.7,Ozone,Hazardous
Istanbul,Turkey,81.9,76.9,99.4,135.2,122.6,PM2.5,Unhealthy for Sensitive Groups
Rawalpindi,Pakistan,118.7,97.2,76,118.4,146.3,CO,Unhealthy for Sensitive Groups
Sydney,Australia,232.8,288.9,276.2,262.8,235.8,Ozone,Very Unhealthy
Santiago,Chile,261.1,343.4,359.9,351.4,445,NO2,Hazardous
Colombo,Sri Lanka,19.3,0.6,29.2,5.9,41.5,NO2,Good
Rome,Italy,42.6,86.9,46.9,77.5,78,Ozone,Moderate
Singapore,Singapore,261.4,356.7,291.5,353.8,352.7,Ozone,Hazardous
Paris,France,173.5,134,153.6,199.3,187.7,PM2.5,Unhealthy
Hong Kong,China,165.9,285.6,161.9,268.3,222.6,Ozone,Very Unhealthy
Helsinki,Finland,267.7,355.8,486.9,328.4,430.6,NO2,Hazardous
Chengdu,China,114.3,158.8,113.8,131,171.5,Ozone,Unhealthy
Allahabad,India,261.2,284.8,169.2,277.3,211.5,Ozone,Very Unhealthy
Ho Chi Minh City,Vietnam,76.5,85,67.5,96.8,146.7,PM2.5,Unhealthy for Sensitive Groups
Budapest,Hungary,24.3,0.7,5.2,6.4,3.8,CO,Good
Singapore,Singapore,405,446.3,323.1,358.1,309.2,Ozone,Hazardous
New York,USA,78.5,119.9,63.6,135.6,135.9,PM2.5,Unhealthy for Sensitive Groups
Warsaw,Poland,120,98.1,117.6,109.5,133.8,CO,Unhealthy for Sensitive Groups
Kabul,Afghanistan,29.6,16.6,10.6,19.5,42,CO,Good
Auckland,New Zealand,242.5,232.8,207.1,257.6,278.4,PM2.5,Very Unhealthy
Bangalore,India,88.1,82.7,78.7,88.2,139.7,PM2.5,Unhealthy for Sensitive Groups
Bishkek,Kyrgyzstan,38.7,45.1,52.8,72.3,59.4,PM2.5,Moderate
Budapest,Hungary,118.1,144.9,102.8,193.3,164.1,PM2.5,Unhealthy
Reykjavik,Iceland,168.8,129.6,131.9,172.7,165.1,PM2.5,Unhealthy
Beijing,China,135.3,154.8,157.6,155.6,192,NO2,Unhealthy
Mexico City,Mexico,231,248.7,195.8,227.1,263.6,Ozone,Very Unhealthy
Oslo,Norway,63.4,119.6,93,115.3,128.3,Ozone,Unhealthy for Sensitive Groups
Warsaw,Poland,57.9,49.5,64.7,87.2,94.4,PM2.5,Moderate
Rio de Janeiro,Brazil,179.6,203.4,200.5,266.3,280.7,PM2.5,Very Unhealthy
Oslo,Norway,193.6,177.1,179.8,239.4,273.9,PM2.5,Very Unhealthy
Lahore,Pakistan,174.6,159.8,105.2,130.6,174.3,CO,Unhealthy
Portland,USA,154.8,126.1,100.6,172.7,158.6,PM2.5,Unhealthy
Rawalpindi,Pakistan,261.3,195.6,194.2,297.4,291.4,PM2.5,Very Unhealthy
Mumbai,India,202.2,229.4,265.4,252.3,220.9,NO2,Very Unhealthy
Beijing,China,179.8,182.5,125.8,134.5,178.8,Ozone,Unhealthy
Kuwait City,Kuwait,259,231.7,267.4,264.9,239.7,NO2,Very Unhealthy
Karachi,Pakistan,176.1,148.1,127.8,197.5,173.2,PM2.5,Unhealthy
Lahore,Pakistan,236.4,241.5,184.7,236.2,289.9,Ozone,Very Unhealthy
Bogota,Colombia,85.7,115.7,90,128.1,130.6,PM2.5,Unhealthy for Sensitive Groups
Copenhagen,Denmark,184.7,228.3,269.3,256.9,202.3,NO2,Very Unhealthy
Shanghai,China,260.7,225.6,169.1,249.2,252,CO,Very Unhealthy
Riyadh,Saudi Arabia,105.9,124.5,70.8,93.3,129.3,Ozone,Unhealthy for Sensitive Groups
Reykjavik,Iceland,164.7,180.1,126.2,146.6,163.6,Ozone,Unhealthy
Mumbai,India,133.3,171.4,109.8,166.2,189,Ozone,Unhealthy
Kathmandu,Nepal,106.9,103.7,63.1,109.8,143.5,PM2.5,Unhealthy for Sensitive Groups
Madrid,Spain,253.1,208.2,219.7,285.5,238.6,PM2.5,Very Unhealthy
Tashkent,Uzbekistan,94.7,100.9,76,135,121,PM2.5,Unhealthy for Sensitive Groups
Mexico City,Mexico,30.4,77.3,59.7,44.7,69.5,Ozone,Moderate
Lahore,Pakistan,124.9,127.6,143.9,170.9,179.2,PM2.5,Unhealthy
Manila,Philippines,50,86.4,32.1,63.4,89.6,Ozone,Moderate
Linfen,China,65.1,112.6,69.1,105.4,122.4,Ozone,Unhealthy for Sensitive Groups
Guangzhou,China,255.9,432.8,253.7,380.1,393.7,Ozone,Hazardous
Stockholm,Sweden,173.1,120.7,157.8,199.3,153.7,PM2.5,Unhealthy
Ho Chi Minh City,Vietnam,71.5,136,87.8,85.5,135.7,Ozone,Unhealthy for Sensitive Groups
Rawalpindi,Pakistan,254.4,174.8,215.9,271,272.2,PM2.5,Very Unhealthy
Dublin,Ireland,126.4,102.4,96.3,130.5,133.1,PM2.5,Unhealthy for Sensitive Groups
Santiago,Chile,119.3,127.4,133.8,152,166.8,PM2.5,Unhealthy
Kolkata,India,42.6,62.3,61.9,57.1,93.1,Ozone,Moderate
Taipei,Taiwan,114.4,139.9,149.8,144.1,187.7,NO2,Unhealthy
Rio de Janeiro,Brazil,20.5,33.8,20.5,8.8,37.9,Ozone,Good
Kuala Lumpur,Malaysia,170.5,174.6,118,190.8,156.9,PM2.5,Unhealthy
Ho Chi Minh City,Vietnam,111.6,108.8,94.2,136.6,146.3,PM2.5,Unhealthy for Sensitive Groups
Auckland,New Zealand,20.8,11.4,17.6,11.1,15.8,CO,Good
Baghdad,Iraq,22.1,52.4,49,33.9,54.1,Ozone,Moderate
Bucharest,Romania,128.7,186.8,126.1,141.3,166.5,Ozone,Unhealthy
Brisbane,Australia,146.1,124.9,124.4,143.3,190.1,CO,Unhealthy
Shanghai,China,120.5,125.1,86,118,105.5,Ozone,Unhealthy for Sensitive Groups
Hyderabad,India,111.9,142,112.9,180.7,181.3,PM2.5,Unhealthy
London,UK,175.4,271.1,213.7,295.5,206.3,PM2.5,Very Unhealthy
Ulaanbaatar,Mongolia,456.5,337.8,448.8,473.4,372.4,PM2.5,Hazardous
Allahabad,India,70.9,46.1,73.3,40.5,53,NO2,Moderate
Faridabad,India,194.5,219.9,201.5,236.1,264.4,PM2.5,Very Unhealthy
Prague,Czech Republic,121.6,132.7,149.6,141.6,152.3,NO2,Unhealthy
Ho Chi Minh City,Vietnam,456.9,357.7,294.9,456.9,440.4,CO,Hazardous
Raipur,India,115.5,76.9,103,129.3,130.7,PM2.5,Unhealthy for Sensitive Groups
Tashkent,Uzbekistan,112.9,82.3,91.4,88.8,114.4,CO,Unhealthy for Sensitive Groups
Tianjin,China,64.5,123,62,84,104.4,Ozone,Unhealthy for Sensitive Groups
Allahabad,India,25.7,4.2,26.7,18.4,48.5,NO2,Good
Melbourne,Australia,435,304.8,486.1,454.2,430.7,NO2,Hazardous
Portland,USA,429.9,332.3,454.9,424.1,326.1,NO2,Hazardous
Honolulu,USA,177.9,224.3,192.8,245.9,285,PM2.5,Very Unhealthy
Paris,France,60.3,86.1,51,47.1,71.1,Ozone,Moderate
Chicago,USA,48,55.4,65,79.5,99.9,PM2.5,Moderate
Delhi,India,72.7,49.9,39.2,89.2,66.8,PM2.5,Moderate
Cairo,Egypt,19.9,25.2,17.6,1.8,22.1,Ozone,Good
Jakarta,Indonesia,102,83.6,62.1,81.1,104.4,CO,Unhealthy for Sensitive Groups
Manila,Philippines,13,8.8,20.5,2,5.1,NO2,Good
Agra,India,6.7,15.4,1.3,21.3,36,PM2.5,Good
Manila,Philippines,129.6,139.7,110.3,193.6,174.8,PM2.5,Unhealthy
Vienna,Austria,399.3,395.6,447.4,426.3,338.7,NO2,Hazardous
Seattle,USA,25.7,38.6,6.7,19.1,36,Ozone,Good
Gwalior,India,264.5,252.3,221.2,216.6,214.5,CO,Very Unhealthy
Budapest,Hungary,50.6,75.6,61.4,39.6,96.3,Ozone,Moderate
New York,USA,122.7,177.6,129.2,174.3,192.7,Ozone,Unhealthy
Prague,Czech Republic,25.2,28,29.6,9.9,22.2,NO2,Good
Jakarta,Indonesia,123.7,77.6,80.8,103,108.7,CO,Unhealthy for Sensitive Groups
Paris,France,142.7,154.4,129.3,171.4,189.7,PM2.5,Unhealthy
Manila,Philippines,18.2,27.6,4.5,6.5,14.6,Ozone,Good
Kathmandu,Nepal,248.8,278.7,218.4,276.4,208.9,Ozone,Very Unhealthy
Dubai,UAE,82,79.8,92.5,128.8,141.8,PM2.5,Unhealthy for Sensitive Groups
Lima,Peru,122,130.5,111.8,190.4,165.3,PM2.5,Unhealthy
Kabul,Afghanistan,14.8,1.6,27.6,19.9,4.6,NO2,Good
Dublin,Ireland,112.5,126.5,125.7,193.9,166.6,PM2.5,Unhealthy
Dhaka,Bangladesh,459.5,419.2,444.2,362.1,399.5,CO,Hazardous
Bogota,Colombia,21.8,3.2,26.7,32.1,37.2,PM2.5,Good
Calgary,Canada,12.2,35.7,12.9,12.2,35.4,Ozone,Good
Hanoi,Vietnam,10.4,5.9,25.8,31,18.3,PM2.5,Good
Kabul,Afghanistan,163.3,226.5,231.2,289.9,255.9,PM2.5,Very Unhealthy
Melbourne,Australia,207.5,192.5,167.2,195.8,234.6,CO,Very Unhealthy
Wellington,New Zealand,170.6,177.4,159.3,169,180.7,Ozone,Unhealthy
Honolulu,USA,106.9,81.8,98.5,82.9,116.6,CO,Unhealthy for Sensitive Groups
Seattle,USA,71.2,71.9,58.9,38.3,58.8,Ozone,Moderate
Jakarta,Indonesia,151,151.2,156.6,160,180.2,PM2.5,Unhealthy
Singapore,Singapore,286,277.9,479.5,487.5,431.2,PM2.5,Hazardous
Athens,Greece,300.4,295.2,274,315.7,462,PM2.5,Hazardous
Seattle,USA,120.9,70.7,62.3,84.4,116.1,CO,Unhealthy for Sensitive Groups
Brisbane,Australia,14.7,6.1,15.1,15.8,14.1,PM2.5,Good
Athens,Greece,75.7,114.9,95.1,91.4,130.8,Ozone,Unhealthy for Sensitive Groups
Vienna,Austria,110.4,85.7,60.3,134.6,119.8,PM2.5,Unhealthy for Sensitive Groups
Delhi,India,129.6,93.7,75.1,139.9,142.3,PM2.5,Unhealthy for Sensitive Groups
Manila,Philippines,69.6,52.9,42.2,53,59.6,CO,Moderate
Hong Kong,China,23.9,37.6,33.9,79.5,77.4,PM2.5,Moderate
Chengdu,China,160.7,125,124.2,148.7,187.7,CO,Unhealthy
Warsaw,Poland,282.4,458.3,383,372,473,Ozone,Hazardous
Kuwait City,Kuwait,68.2,130.3,103.1,93.4,144.5,Ozone,Unhealthy for Sensitive Groups
Vienna,Austria,143.4,120.5,142.8,171.7,192.4,PM2.5,Unhealthy
Linfen,China,435.2,266.6,275.8,491.6,459.2,PM2.5,Hazardous
Chengdu,China,368.7,396.7,311,437.2,493.6,PM2.5,Hazardous
Chengdu,China,67.6,46.2,40.2,87.7,95.6,PM2.5,Moderate
Kuala Lumpur,Malaysia,113.3,128.4,151.8,186.1,181.7,PM2.5,Unhealthy
Hong Kong,China,368.8,300.4,257.6,374.4,453.1,PM2.5,Hazardous
Tehran,Iran,226.3,188.3,197.9,223,260.4,CO,Very Unhealthy
Baghdad,Iraq,159.1,187.7,120.8,154,158.6,Ozone,Unhealthy
Tashkent,Uzbekistan,27.2,66.4,69.6,77,82.1,PM2.5,Moderate
Shanghai,China,27.7,39.3,21.6,7.3,29.7,Ozone,Good
Ho Chi Minh City,Vietnam,48.7,59.8,38.1,37,66.8,Ozone,Moderate
Paris,France,120.9,120.2,78.9,99.7,119.2,CO,Unhealthy for Sensitive Groups
Yangon,Myanmar,68.4,45.7,57.9,78.2,67.6,PM2.5,Moderate
Helsinki,Finland,5.2,1.8,10.3,33.8,41.1,PM2.5,Good
Istanbul,Turkey,176,248.4,181.7,202,256.4,Ozone,Very Unhealthy
Zurich,Switzerland,128.9,136.4,86.4,86.5,142.2,Ozone,Unhealthy for Sensitive Groups
Cairo,Egypt,458.5,394.7,480.6,452.6,345.2,NO2,Hazardous
Kathmandu,Nepal,370.4,461.9,483.7,361,342,NO2,Hazardous
Stockholm,Sweden,30.5,75.8,33.5,65,71.5,Ozone,Moderate
Rome,Italy,76.2,99.5,107.7,121.4,101.2,PM2.5,Unhealthy for Sensitive Groups
Yangon,Myanmar,86.5,121.1,97.7,93.6,148.8,Ozone,Unhealthy for Sensitive Groups
Lima,Peru,82.5,125.9,62.6,117.1,143.5,Ozone,Unhealthy for Sensitive Groups
Mexico City,Mexico,175.6,194.2,177.1,298,237.4,PM2.5,Very Unhealthy
Oslo,Norway,85.3,122.3,76.7,124.3,106.7,PM2.5,Unhealthy for Sensitive Groups
Vancouver,Canada,14.1,12,0.2,33.6,39.6,PM2.5,Good
London,UK,436.5,400,296.8,486,391.3,PM2.5,Hazardous
Seoul,South Korea,176,161.8,142.3,138.1,184.2,CO,Unhealthy
Nairobi,Kenya,10.7,25.2,22.9,21.5,17,Ozone,Good
Patna,India,74.3,129.3,87,86.1,139.2,Ozone,Unhealthy for Sensitive Groups
Melbourne,Australia,8.2,6.4,11.9,11.6,18.8,NO2,Good
Hong Kong,China,303.1,395.6,389.9,398.6,342.1,PM2.5,Hazardous
Perth,Australia,152.8,128.4,147.2,173.1,175.1,PM2.5,Unhealthy
Rome,Italy,264.7,199.7,177.5,194.6,267.5,CO,Very Unhealthy
Singapore,Singapore,159.3,151.1,139.4,189.2,180.5,PM2.5,Unhealthy
Buenos Aires,Argentina,50.2,53.6,36.7,56.6,86.2,PM2.5,Moderate
Dhaka,Bangladesh,13.1,31.1,23.1,19.9,5.3,Ozone,Good
Prague,Czech Republic,213.3,242.8,237.9,210.3,238.1,Ozone,Very Unhealthy
Tokyo,Japan,172.1,170,117.4,157.2,195.3,CO,Unhealthy
Copenhagen,Denmark,128.5,181.8,118.2,183.3,183.8,PM2.5,Unhealthy
Budapest,Hungary,107.9,79.9,64.2,135.7,139,PM2.5,Unhealthy for Sensitive Groups
Bogota,Colombia,87.6,126.7,108.4,99.2,124.8,Ozone,Unhealthy for Sensitive Groups
Paris,France,269.3,265.4,224.8,274.3,247.5,PM2.5,Very Unhealthy
Cape Town,South Africa,10.3,38.8,26.1,25.4,28.4,Ozone,Good
Chennai,India,251,221.7,231.1,192.4,292.8,CO,Very Unhealthy
Lima,Peru,474.1,331.9,280.8,471.6,359.3,CO,Hazardous
Toronto,Canada,121.2,137.3,117.7,135.9,163.9,Ozone,Unhealthy
Raipur,India,75.6,80.7,64.5,125.7,109.5,PM2.5,Unhealthy for Sensitive Groups
Hong Kong,China,72.6,137.9,94.6,101.8,137.6,Ozone,Unhealthy for Sensitive Groups
Beijing,China,55.9,46,35.4,72.9,81.5,PM2.5,Moderate
Allahabad,India,70.9,55.4,59,67.9,56.9,CO,Moderate
Gwalior,India,9.8,16.5,8.4,26.9,4.3,PM2.5,Good
Singapore,Singapore,203.7,282,249.8,280.4,233.4,Ozone,Very Unhealthy
Mumbai,India,394.6,297.5,497.2,308.8,398.3,NO2,Hazardous
Tehran,Iran,115.6,186,144.6,186.1,189.1,PM2.5,Unhealthy
Hyderabad,India,137.6,161.3,141.2,196.9,185.1,PM2.5,Unhealthy
Brisbane,Australia,16.2,15.1,19,28.8,2.7,PM2.5,Good
New York,USA,22,73.1,38.7,50.8,59.6,Ozone,Moderate
Yangon,Myanmar,358.2,305.4,392.7,311.6,477.7,NO2,Hazardous
Osaka,Japan,64.1,58.9,45.7,82.9,71.8,PM2.5,Moderate
Peshawar,Pakistan,117,150.1,102,199.5,160.9,PM2.5,Unhealthy
Kabul,Afghanistan,68.4,112.7,74,86.3,119.6,Ozone,Unhealthy for Sensitive Groups
Mumbai,India,16.9,9.5,8.6,27.9,32.4,PM2.5,Good
Reykjavik,Iceland,50.3,62.4,43.3,65.3,61.8,PM2.5,Moderate
Dhaka,Bangladesh,15.7,18.6,9.6,14.3,18.1,Ozone,Good
Melbourne,Australia,197.4,183,186.9,289.2,279.3,PM2.5,Very Unhealthy
Portland,USA,101.9,121.5,84.3,133.3,108.8,PM2.5,Unhealthy for Sensitive Groups
Los Angeles,USA,97.8,97.4,110.3,127.7,145.9,PM2.5,Unhealthy for Sensitive Groups
Budapest,Hungary,261.8,281.3,223.3,192.2,283.7,Ozone,Very Unhealthy
Delhi,India,230.4,209.3,160.3,212.5,282.9,CO,Very Unhealthy
Tianjin,China,21.7,26.7,24.9,19.3,40.6,Ozone,Good
Casablanca,Morocco,110.8,179,174.1,169.2,177.8,Ozone,Unhealthy
Istanbul,Turkey,257.7,269,258.4,197,203,Ozone,Very Unhealthy
Vancouver,Canada,70.3,117.9,108.6,125.3,104.8,PM2.5,Unhealthy for Sensitive Groups
Lahore,Pakistan,159,126.2,108.1,198.3,182.6,PM2.5,Unhealthy
Dhaka,Bangladesh,162.4,139.4,100.5,183.6,162.8,PM2.5,Unhealthy
Tashkent,Uzbekistan,65.9,75.9,103.1,122.2,106.3,PM2.5,Unhealthy for Sensitive Groups
São Paulo,Brazil,289.3,373.7,397,318.7,362.4,NO2,Hazardous
Manila,Philippines,126.1,126.4,161,199.6,156.4,PM2.5,Unhealthy
Tokyo,Japan,10.4,0.1,1.9,29.3,16.1,PM2.5,Good
Santiago,Chile,144.6,158.3,156.9,136.1,154.5,Ozone,Unhealthy
Paris,France,129.1,95.2,77.6,102.8,112.2,CO,Unhealthy for Sensitive Groups
Kolkata,India,230.1,198.2,188.3,260.4,223.3,PM2.5,Very Unhealthy
Bangkok,Thailand,212.5,223.7,213.3,292.9,250.5,PM2.5,Very Unhealthy
Hanoi,Vietnam,124.8,78.9,111,96,135.3,CO,Unhealthy for Sensitive Groups
Bishkek,Kyrgyzstan,28.3,36.2,24.9,34.3,29.6,Ozone,Good
Kathmandu,Nepal,74.2,81.1,50.3,77.7,70.1,Ozone,Moderate
Tianjin,China,101.5,72,67.8,99.2,120.1,CO,Unhealthy for Sensitive Groups
Casablanca,Morocco,175.7,136.4,153.1,158.9,182.7,CO,Unhealthy
Rio de Janeiro,Brazil,317.9,446.9,280.2,499.2,490.2,PM2.5,Hazardous
Kathmandu,Nepal,177.3,169.3,102.4,172.1,184.6,CO,Unhealthy
Dhaka,Bangladesh,76.3,84.1,92.4,102.8,107.1,PM2.5,Unhealthy for Sensitive Groups
Bangalore,India,72.8,50.2,60.8,59.7,52.5,CO,Moderate
Tokyo,Japan,219.9,210.5,234,263.6,289,PM2.5,Very Unhealthy
Lima,Peru,103.4,127.3,105.7,120.6,121.8,Ozone,Unhealthy for Sensitive Groups
Athens,Greece,35.2,37.1,45.4,57.3,58,PM2.5,Moderate
Buenos Aires,Argentina,106.8,82.4,95.8,134.4,112.2,PM2.5,Unhealthy for Sensitive Groups
Riyadh,Saudi Arabia,176.5,240.5,163,295.8,206,PM2.5,Very Unhealthy
Paris,France,72.5,58.8,51.3,85.9,97.7,PM2.5,Moderate
Vancouver,Canada,389.9,316.3,453.8,496.8,341.7,PM2.5,Hazardous
Calgary,Canada,31.7,73.9,30.4,33.3,95,Ozone,Moderate
Patna,India,197.9,230.4,265.7,190.8,244.9,NO2,Very Unhealthy
Hong Kong,China,154.9,128.9,138.6,181.8,174.1,PM2.5,Unhealthy
Taipei,Taiwan,115.9,162.5,115.4,142.4,168.7,Ozone,Unhealthy
Peshawar,Pakistan,178.2,191.5,183.6,216.8,228,PM2.5,Very Unhealthy
Osaka,Japan,10.7,26.5,2.9,17.3,48.1,Ozone,Good
Guangzhou,China,49.5,38.5,31.5,73.3,75.1,PM2.5,Moderate
Hong Kong,China,15.3,19.9,24.8,6.1,32.1,NO2,Good
Casablanca,Morocco,78.3,86.8,37.6,35.6,67.3,Ozone,Moderate
Guangzhou,China,193.4,181.2,181.1,226,202.9,PM2.5,Very Unhealthy
Madrid,Spain,170.6,123.2,169.2,165.5,194.3,CO,Unhealthy
Chennai,India,30.4,83.5,59,74.6,95.7,Ozone,Moderate
Mexico City,Mexico,44.2,49.9,26,78.3,91.8,PM2.5,Moderate
Hanoi,Vietnam,175.9,181.5,159.4,140.9,194.3,Ozone,Unhealthy
Chengdu,China,33.1,87.4,35.5,60.3,51.2,Ozone,Moderate
Cape Town,South Africa,202.1,279.8,229.6,260.5,292.3,Ozone,Very Unhealthy
Faridabad,India,125.9,166.9,107.7,130.9,189.4,Ozone,Unhealthy
Bogota,Colombia,449.3,424.3,270.5,389.4,424.9,CO,Hazardous
Beijing,China,54.8,79.2,30.5,30.1,83.6,Ozone,Moderate
Yangon,Myanmar,156.9,131.3,109.5,179.3,166.6,PM2.5,Unhealthy
Gwalior,India,124.2,114,73.7,101.6,135.4,CO,Unhealthy for Sensitive Groups
Honolulu,USA,120.1,141.1,166.3,195.7,162.7,PM2.5,Unhealthy
Istanbul,Turkey,387.5,295.3,421.1,333.9,437.1,NO2,Hazardous
Wuhan,China,22.6,1,17,21.1,5.8,CO,Good
Dublin,Ireland,29.6,55.8,62,84.7,81.1,PM2.5,Moderate
Ho Chi Minh City,Vietnam,52.5,83.2,73.3,74.3,90.9,Ozone,Moderate
Taipei,Taiwan,25,85.1,36.4,48.8,57.9,Ozone,Moderate
Rome,Italy,227.4,223.8,227.9,190.9,222,NO2,Very Unhealthy
Patna,India,253,258.1,175,288,270.8,PM2.5,Very Unhealthy
Honolulu,USA,153.7,161.5,122.1,158.4,182.8,Ozone,Unhealthy
Cairo,Egypt,279.6,286.3,214,268.8,223.6,Ozone,Very Unhealthy
Perth,Australia,102.2,96.9,93.9,129.4,139.4,PM2.5,Unhealthy for Sensitive Groups
Agra,India,117.4,123.8,127.4,182.9,151.3,PM2.5,Unhealthy
Buenos Aires,Argentina,413,355.7,393.9,462.8,331.3,PM2.5,Hazardous
Chicago,USA,150.2,170.8,119,182.3,180.3,PM2.5,Unhealthy
Chengdu,China,73.1,35.5,25.2,68.4,84.7,CO,Moderate
Zabol,Iran,466.5,482.9,345.2,299.3,398.5,Ozone,Hazardous
Cape Town,South Africa,271.6,475.6,383.6,447.3,372.3,Ozone,Hazardous
